Name,Continent,Length,Width,Area,Discharge,Precipitation,Wet days,Temperature,Elevation,Longitude,Latitude
Ghaghara,Asia,1080,152,127950,2993,1025,75,12.9,2227,81.29990234375003,27.92035553593162
Irtysh,Asia,4248,386,1673470,2980,313,133,1.8,444,80.087158203125,50.50409577030662
Yamuna,Asia,1376,192,366223,2949,906,46,21.1,840,78.35498046875,27.12457916874412
Rhine,Europe,1233,222,198735,2900,728,185,9.1,141,7.174951171875023,50.69899323124412
Beni,South America,1100,433,131500,2875,1630,105,22.0,1152,-67.48283691406249,-13.83674895625589
Gan,Asia,599,108,103107,2861,1559,157,17.4,222,115.10986328125,27.22829010624412
Min,Asia,735,115,133000,2850,1709,172,17.0,489,117.982421875,26.75592682499412
Nile,Africa,6853,551,3400000,2830,18,6,25.1,294,31.86074218750002,22.47382233280662
Iriri,South America,1300,290,130000,2745,2153,211,25.6,233,-53.86118164062499,-6.752276300005889
Kwango,Africa,1100,188,263500,2700,1450,99,23.4,736,17.176025390625,-7.428057550005889
Yellow,Asia,5464,400,752000,2571,608,84,12.4,396,115.06796875,35.37999909061912
Pyasina,Asia,818,556,182000,2550,392,197,-12.8,86,89.50839843750003,71.66815827030662
Amu Darya,Asia,2400,745,534739,2525,138,56,12.8,359,62.352783203125,40.43068268436912
Sankuru,Africa,1200,405,156000,2500,1566,113,24.1,745,23.75771484375002,-6.10271575313088
Koshi,Asia,729,653,69300,2500,961,92,7.7,3241,87.19394531250003,27.32448151249412
Sangha,Africa,790,546,213400,2471,1647,129,25.0,362,16.915283203125,0.4030215515566198
Songhua,Asia,1434,494,557180,2463,598,103,3.8,241,126.39423828125,44.10944244999412
Missouri,North America,3767,360,1371010,2445,564,90,6.6,599,-100.5842773437501,44.48712799686926
Neva,Europe,74,402,281000,2445,632,194,3.8,24,30.961181640625,59.85932037968162
Liard,North America,1115,284,277100,2434,444,122,-5.1,921,-125.8178710937498,59.47033112186914
Guapore,South America,1260,270,341000,2430,1565,116,26.0,279,-61.82358398437499,-13.54348723750589
Nelson,North America,2575,563,982900,2370,486,138,-4.1,171,-96.59819335937507,55.8236026062441
Cauca,South America,1180,78,59840,2364,2187,167,23.9,782,-75.77421874999999,5.87213776249412
Apure,South America,1038,351,121400,2300,1510,130,25.4,439,-70.08671874999999,7.710711981244117
Krishna River,Asia,1400,392,258948,2213,781,48,26.6,471,77.134521484375,16.48180573124412
Xiang,Asia,948,417,94721,2157,1409,165,16.9,215,112.65341796875,27.01605866093162
Jialing,Asia,1345,174,160000,2120,959,137,12.5,1146,105.95673828125,31.73761627811912
Mahanadi,Asia,858,319,141600,2119,1353,65,25.6,391,83.467041015625,21.64552643436912
Peace,North America,1923,393,306000,2110,445,113,-1.6,662,-117.2791015625,57.12946198124411
Olyokma,Asia,1436,204,210000,2110,391,148,-8.3,781,120.966552734375,57.03803131718162
Hongshui,Asia,669,202,141674,2049,1397,180,17.7,729,108.280029296875,23.96657135624412
Ventuari,South America,520,171,40000,2000,3059,187,22.3,1093,-66.25751953125,4.69061920780662
Aruwimi,Africa,1030,532,116100,2000,1672,132,24.8,495,25.188720703125,1.467889715619108
